"index","工作內容"
1,"1.餐點解說及點餐送餐服務 
2.內、外場聯繫及顧客諮詢服務
3.店內環境、座位區清潔整理
4.收銀結帳，開店前準備及閉店整理作業

板橋大遠百店預計7月開幕，需能配合開幕前至他店培訓"
2,"於此專區投遞履歷即可應徵Q Burger_饗樂餐飲【110年新創企業實務培訓職場圓夢計畫】的職缺！

【公司產業類型】
餐館業

【公司簡介】
每個人每一天每個城市 Every one every day in every city
早餐是開啟現代忙碌人每天生活的美好開始，而現今都會生活作息演進讓早午餐更成為療癒人心的饗宴。
Q Burger致力於探索提升早午餐的美好，期許在每個城市都有Q Burger，每個人、每一天都吃得到Q Burger。
Q Burger是一個年經，且充滿熱情Passion、快樂生活Pleasant與正面積極Positive的品牌。
我們不僅提供美味的餐食，在兼具快速Quick與品質Quality的價值之下，以微笑服務來傳遞美好心情，優質平價美食為人們帶來愉悅享受。
Q Burger饗樂餐飲自2013年成立以來，從新北三重的一間早午餐店發跡，在北台灣、中台灣拓展至今已經2百多間門店，並正逐步深化台灣各地角落。
深耕台灣，佈局全球，邁向讓台灣人引以為傲的國際性品牌。



【110年新創企業實務培訓職場圓夢計畫】職缺
1.	《Q BURGER中壢龍昌店》平/假日兼職工作夥伴

2.	《Q BURGER中壢金陵店》平/假日兼職工作夥伴

3.	《Q BURGER中壢弘揚店》平/假日兼職工作夥伴

4.	《Q BURGER桃園自強店》平/假日兼職工作夥伴

5.	《Q BURGER桃園大有店》平/假日兼職工作夥伴
工作地點：桃園
工作內容：
1. 對餐飲營運工作有興趣。
2. 面帶笑容，殷勤款待來訪顧客。
3. 遵守Q BURGER工作站標準。
4. 準備、製作高品質的餐點。
5. 餐點產品介紹與推薦。
6. 店鋪環境清潔。
7. 其他主管交代事項。
8. 表現良好者，可優先轉正職人員。

【110年新創企業實務培訓職場圓夢計畫的方式】
最終內容將由企業協調安排。

【110年新創企業實務培訓職場圓夢計畫的職缺期間】
2021/07/01(四)~2021/08/31(二) 共計150小時以上，含5小時以上培訓輔導。

【注意事項】
1.計畫採報名制，請先投遞履歷報名，並留意後續相關通知訊息。因申請資格不符合者恕不另行通知。
2.本計畫將代為投保150小時培訓期間團體保險。
3. 薪資符合勞基法規定，實際薪資以面談協定為主。"
3,"可彈性配合學校課表排班, 提供員工餐飲優惠
工讀表現優異可轉正職
1. 負責洗、剝、削、切各種食材，以完成烹飪的前置工作。
2. 協助廚師測量食材的容量與重量。
3. 依照客人的點單，準備不同菜色所需要的食材。
4. 於出菜時負責菜餚擺盤或調整份量之工作。
5. 負責清理工作環境、設備及餐具
"
4,"全身精油Spa
身體美容舒壓保養、精油芳療服務
頭部、全身經絡精油舒壓
局部、全身角質去除服務

有完善的規劃教育 
1.美容全身指油壓、基礎流程教學
2.無經驗可 提供免費培訓學習專業美容舒壓資訊。
3.專業培訓 教育您與客戶之間的維繫情感連結。
4.上班時數天數彈性 一週上3-5天班 時數最少4小時。
5.外縣市應徵者提供住宿租房補助
6.可提供每日下班現領新資
7.職前訓練內容簡單且能快速上手，即可開始接待客戶
8.擁有客源穩定.工作環境舒適單純.不用推銷產品.不需要開發客戶.無業績壓力

「開心工作」「熱情服務」「專業技巧」
是我們經營的宗旨與目標 只要您具備賺錢的慾望，以及具有服務客人的熱誠態度
我們都非常誠摯的歡迎您加入～"
5,"可彈性配合學校課表排班, 提供員工餐飲優惠
工讀表現優異可轉正職
1. 負責跑單、擺盤、送餐及聯繫內外場之工作。
2. 負責客人帶位、倒水、點餐等工作。
3. 於客人用餐完畢後，負責收拾碗盤與清理環境。
4. 負責店鋪的環境打掃與清理
"
6,"1. 清洗食材 
2. 將食材依照廚師要求進行切片、切塊或切末等備料的工作 
3. 生鮮產品的庫存管理以及製程檢驗 
4. 各式魚類海鮮處理、肉片製作及各式生鮮切片處理 
5. 餐點擺盤/包裝及品質確認
6. 可配合輪班
7. 供餐及補菜，即時告知師傅前台狀況以控制菜量、緊急增菜
8. 廚房環境維護及鍋碗瓢盆之清洗
9. 麵食區供餐
10. 現場須協助之事項"
7,"全身精油Spa
身體美容舒壓保養、精油芳療服務
頭部、全身經絡精油舒壓
局部、全身角質去除服務

有完善的規劃教育 
1.美容全身指油壓、基礎流程教學
2.無經驗可 提供免費培訓學習專業美容舒壓資訊。
3.專業培訓 教育您與客戶之間的維繫情感連結。
4.上班時數天數彈性 一週上3-5天班 時數最少4小時。
5.外縣市應徵者提供住宿租房補助
6.可提供每日下班現領新資
7.職前訓練內容簡單且能快速上手，即可開始接待客戶
8.擁有客源穩定.工作環境舒適單純.不用推銷產品.不需要開發客戶.無業績壓力

「開心工作」「熱情服務」「專業技巧」
是我們經營的宗旨與目標 只要您具備賺錢的慾望，以及具有服務客人的熱誠態度
我們都非常誠摯的歡迎您加入～"
8,"★對餐飲業有熱忱，個性活潑外向，樂於與人互動
★認真、負責、學習意願高、注重團隊合作
★工作內容主要為餐點銷售、三明治組合區 、煎台區 、飲料區、餐車清潔維護
★工作時間為上午6:30至上午10:30，固定星期日休，可排班
★Chi-Burger餐車是我們的行動餐車創始1號，期待您成為我們的夥伴"
9,"喜歡在美的空間品味享受生活
注重生活細節及美感
並對學習餐點有熱忱的你
期待有你的加入！

—— 職務描述 ——
1. 協助主廚製作餐點
2. 創意中西餐點
3. 協助備料及廚房清除
4. 可早晚排班，但配合夜班者需自備交通工具

*另有高額業績獎金
*忠孝復興站或大安站走路10分鐘

—— 希望特質 —— 
1. 喜愛美食餐點

2. 喜愛創新料理
"
10,"早班上班時間: 早上10點30分-下午5點
進行店內一切事務、點餐等工作。"
11,"工作內容主要為「外場服務人員」

當然還可學習其他簡易事務：
★三明治組合區
★西餐爐(學作早午餐炒蛋 法式吐司等及義大利麵)
★煎台區
★收銀區
★飲料吧檯區

以上皆有SOP，手把手帶您一起學習
不怕您不會，只怕您不學 ^_^

Chi-Burger蘆洲九芎店是我們的創始店，期待您成為我們的夥伴"
12,"兼職人員的工作內容
工作內容主要為外場服務人員 當然還可學習其他站務 有
三明治組合區 
西餐爐(學作早午餐炒蛋 法式吐司等及義大利麵) 
煎台區 
收銀區 
及飲料吧檯區
Chi-Burger蘆洲九芎店是我們蘆洲的創始店，期待您成為我們的夥伴"
13,"工作內容主要為「外場服務人員」

當然還可學習其他簡易事務：
★三明治組合區
★西餐爐(學作早午餐炒蛋 法式吐司等及義大利麵)
★煎台區
★收銀區
★飲料吧檯區

以上皆有SOP，手把手帶您一起學習
不怕您不會，只怕您不學 ^_^"
14,"喜歡在美的空間品味享受生活
注重生活細節及美感
並對學習咖啡、調酒有熱忱的你
期待有你的加入！

—— 職務描述 ——
1. 顧客接待
2. 餐點送餐
3. 學習協助飲品料理製作
4. 協助藝術展演或包場服務
5. 環境整理照顧
6. 有咖啡及調酒基本知識工作經驗者更加分
7. 早班為主，但可配合晚班者更佳

*時薪 : 早班10-19點 160元/時；晚班19-22點 180元/時；夜班22-03點 200元/時
*另有高額業績獎金
*忠孝復興捷運站或大安站，走路10分鐘

—— 希望特質 —— 
1. 享受與人接觸交流
  對人事物有好奇心
  有邏輯思考與組織能力讓工作有效率

2. 在乎細節
   細心與耐心兼具
   可以在工作中得到成就感及歸屬感

3. 對於環境敏感度極高，無法忍受雜亂的強迫症
   能以高標準、高規格整理及維護工作環境

4.有責任感
  能自動自發並充份熟悉職務職責
  主動完成工作

5.喜愛藝文美學
  喜歡音樂花藝藝文
  喜歡舞蹈表演美學更能享受工作環境"
15,"喜歡在美的空間品味享受生活
注重生活細節及美感
並對學習咖啡、調酒有熱忱的你
期待有你的加入！

—— 職務描述 ——
1. 顧客接待
2. 餐點送餐
3. 學習協助飲品料理製作
4. 協助藝術展演或包場服務
5. 環境整理照顧
6. 有咖啡及調酒基本知識工作經驗者更加分
7. 早班為主，但可配合晚班者更佳

*時薪 : 晚班19-22點 180元/時；夜班22-03點 200元/時
*另有高額業績獎金
*忠孝復興捷運站或大安站，走路10分鐘

—— 希望特質 —— 
1. 享受與人接觸交流
  對人事物有好奇心
  有邏輯思考與組織能力讓工作有效率

2. 在乎細節
   細心與耐心兼具
   可以在工作中得到成就感及歸屬感

3. 對於環境敏感度極高，無法忍受雜亂的強迫症
   能以高標準、高規格整理及維護工作環境

4.有責任感
  能自動自發並充份熟悉職務職責
  主動完成工作

5.喜愛藝文美學
  喜歡音樂花藝藝文
  喜歡舞蹈表演美學更能享受工作環境"
16,"晚班上班時間: 晚上5點-晚上10點。
進行店內一切事務、點餐等工作。"
17,"工作內容主要為「外場服務人員」
 
當然還可學習其他簡易事務：
★三明治組合區 
★西餐爐(學作早午餐炒蛋 法式吐司等及義大利麵) 
★煎台區 
★收銀區 
★飲料吧檯區

以上皆有SOP，手把手帶您一起學習
不怕您不會，只怕您不學 ^_^"
18,"工作內容主要為「外場服務人員」

當然還可學習其他簡易事務：
★三明治組合區
★西餐爐(學作早午餐炒蛋 法式吐司等及義大利麵)
★煎台區
★收銀區
★飲料吧檯區

以上皆有SOP，手把手帶您一起學習
不怕您不會，只怕您不學 ^_^
"
19,"喜歡在美的空間品味享受生活
注重生活細節及美感
並對學習咖啡、調酒有熱忱的你
期待有你的加入！

—— 職務描述 ——
1. 顧客接待
2. 餐點送餐
3. 學習協助飲品料理製作
4. 協助藝術展演或包場服務
5. 環境整理照顧
6. 有咖啡及調酒基本知識工作經驗者更加分
7. 早班為主，但可配合晚班者更佳

*時薪 : 晚班19-22點 180元/時；夜班22-03點 200元/時
*另有高額業績獎金
*忠孝復興捷運站或大安站，走路10分鐘
*夜班者須自備交通工具

—— 希望特質 —— 
1. 享受與人接觸交流
  對人事物有好奇心
  有邏輯思考與組織能力讓工作有效率

2. 在乎細節
   細心與耐心兼具
   可以在工作中得到成就感及歸屬感

3. 對於環境敏感度極高，無法忍受雜亂的強迫症
   能以高標準、高規格整理及維護工作環境

4.有責任感
  能自動自發並充份熟悉職務職責
  主動完成工作

5.喜愛藝文美學
  喜歡音樂花藝藝文
  喜歡舞蹈表演美學更能享受工作環境"
20,"所有規定依勞基法！享勞健保，勞工退休金，三節禮金，年終年假，供餐，紅利獎金，月業績獎金，員工聚餐，員工旅遊。。!。歡迎有熱忱的你一起打拼 

1.準備食材並烹調菜餚。 
2.掌控菜餚的擺盤與出菜的順序。 
3.進行廚房內的衛生管理工作。 
4.與同事或經營者共同討論菜色與菜單。 
5.負責研發新菜色。"
21,"歡迎來電洽詢以下各店: 
松高店 (02)2725-1030 台北市信義區松高路16號3樓
民生店 (02)2718-3011 台北市松山區民生東路三段156號

外場餐飲人員
- 接聽電話，處理電話訂位、顧客詢問及外帶訂單 
- 引導客人入座並即時更新座位狀態 
- 介紹Roadhouse品牌故事及我們的優質產品
- 適時協助外場服務人員提供顧客優質的服務

內場餐飲人員
- 餐點前製準備 
- 協助廚房經理完成餐點製作 
- 維護廚房清潔整齊"
22,"從關懷出發，生活更美好
我們秉持用心料理，體驗生活，在SOP上加入我們的貼心+對顧客的關心以及服務的細心。
期許更多人才能看見我們，加入成為夥伴
一同創造美好未來!打造夢想藍圖~

所有規定依勞基法！享勞健保，勞工退休金，三節禮金，年終年假，供餐，紅利獎金，月業績獎金，員工聚餐，員工旅遊。。!。歡迎有熱忱的你一起打拼 

1.	樂於學習、喜愛分享，關心事物的人才。
2.	接待顧客、送餐、點餐等。
3.	整理桌面、收餐、整理環境、清潔晚盤等。
4.	安排座位、擺排、製作簡易餐點。
5.	連繫內外場工作事宜。
6.	其他主管交辦事項。

時薪加給： 
A.	績效獎金
B.	訓練員加給
C.	夜間加給

♥歡迎喜歡餐飲美食的你，個性活潑，熱愛飲食生活文化，服務大眾，了解產業脈動，喜愛社群（FB／IG），口齒表達清晰且具企圖心、充滿熱情且有執行力的人才加入我們的行列♥"
